ManufacturerName,idManufacturer,WinItemName,WiseItemNumber,ProductNumber,ItemNumber,ItemStatus,MainframeDescription,CatalogNnumber,UPC,OrderNumber,SimilarityScore,ComodityNumber,IM09T_ID,ITEM_MASTER_NUMBER,VENDOR_ITEM_NUMBER,VENDOR_NUMBER
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,486190,31102380,311023808,V000008
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,675941,1337ZMGL9005,311001200,V000008
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,675939,1337ZMGL9003,311000806,V000008
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,675940,1337ZMGL9004,311001002,V000008
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,410578,31102380,311023808,V000051
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,551525,31102380,311023808,V000068
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. FNPT x FNPT Galvanized Schedule XH Malleable Iron 45-degree Elbow,31155116,115214486,1089453,A,1        XH GALV MI AAR 45 ELL,311511000,6.9E+11,311511000,80.09,10,551749,31155116,311511000,V000068
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,387551,1337ZMGL9005,1 G 90,V000150
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,387539,1337ZMGL9003,1/2 G90,V000150
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,387544,1337ZMGL9004,3/4 G90,V000150
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,387585,1337ZMGLST9005,1 GST90,V000166
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,387552,1337ZMGL9005,"1"" GALV 90",V000166
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,398992,1337ZMGL9005,84000012,V000280
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,398988,1337ZMGL9003,84000008,V000280
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,398990,1337ZMGL9004,84000010,V000280
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,405020,1337ZMGL9005,352-005C,V000316
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,405019,1337ZMGL9003,352-003C,V000316
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,404972,1337ZMGL9004,352-004C,V000316
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,387553,1337ZMGL9005,"1"" 47 GALV",V000336
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,398993,1337ZMGL9005,1  34E,V000523
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,398989,1337ZMGL9003,1/2 34E,V000523
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,398991,1337ZMGL9004,3/4 34E,V000523
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,491619,31101660,ZMGLST9005,V000531
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,491609,31100120,ZMGL9005,V000531
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,491607,31100080,ZMGL9003,V000531
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,491608,31100100,ZMGL9004,V000531
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,627177,1337ZMGL4505,311023808,V000717
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,627166,1337ZMGL9005,311001200,V000717
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,627164,1337ZMGL9003,311000806,V000717
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,627165,1337ZMGL9004,311001002,V000717
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,387586,1337ZMGLST9005,352-045,V000947
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,387554,1337ZMGL9005,352-005,V000947
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,387540,1337ZMGL9003,352-003,V000947
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,387545,1337ZMGL9004,352-004,V000947
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,775846,1337ZMGLST9005,ZMGLST9005,V001099
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,775859,1337ZMGL9005,ZMGL9005,V001099
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,775857,1337ZMGL9003,ZMGL9003,V001099
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,775858,1337ZMGL9004,ZMGL9004,V001099
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,448625,1337ZMGL9005,352-005C,V001130
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,781157,31102380,311023808,V001173
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,669374,1337ZMGL9004,GMNL0034,V001428
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,681037,1337ZMGL9005,36306,V001718
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,681035,1337ZMGL9003,36304,V001718
